date,region,channel,format,tier,units,gross_revenue_gbp,cogs_fees_gbp,profit_gbp,customer_age_band,customer_segment,customer_income_band,week
2023-11-22,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,21.2,2.56,18.64,16-24,Mid_Career,75k+,2023-11-20/2023-11-26
2023-12-16,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,18.73,1.88,16.85,16-24,Early_Career,35-50k,2023-12-11/2023-12-17
2023-12-08,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,55.38,5.73,49.64,25-34,Hobbyist,35-50k,2023-12-04/2023-12-10
2023-12-23,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,30.49,3.3,27.19,35-44,Senior,50-75k,2023-12-18/2023-12-24
2023-12-10,Rest_of_UK,Humble_Direct,Print,TIER_18,1,26.51,8.77,17.74,16-24,Mid_Career,75k+,2023-12-04/2023-12-10
2023-12-12,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,10.39,1.3,9.09,25-34,Early_Career,<20k,2023-12-11/2023-12-17
2023-11-28,Manchester,Humble_Direct,Digital,TIER_18,1,22.26,2.71,19.55,16-24,Student,50-75k,2023-11-27/2023-12-03
2023-11-09,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,41.62,4.67,36.95,25-34,Early_Career,35-50k,2023-11-06/2023-11-12
2023-11-01,Rest_of_UK,Humble_Direct,Digital,TIER_10,3,32.71,2.77,29.94,16-24,Hobbyist,<20k,2023-10-30/2023-11-05
2023-12-20,Manchester,Humble_Direct,Digital,TIER_10,2,30.19,2.43,27.76,45-54,Mid_Career,<20k,2023-12-18/2023-12-24
2023-11-10,Rest_of_UK,Amazon,Digital,N/A,1,21.82,2.53,19.28,45-54,Early_Career,50-75k,2023-11-06/2023-11-12
2023-11-06,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,10.11,0.98,9.14,35-44,Mid_Career,35-50k,2023-11-06/2023-11-12
2023-12-02,Rest_of_UK,Indie_Bookshop,Print,N/A,1,20.94,10.29,10.65,16-24,Student,75k+,2023-11-27/2023-12-03
2023-12-01,Rest_of_UK,Indie_Bookshop,Print,N/A,1,18.86,9.3,9.56,35-44,Senior,<20k,2023-11-27/2023-12-03
2023-12-01,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,12.38,1.83,10.55,35-44,Mid_Career,50-75k,2023-11-27/2023-12-03
2023-12-09,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,38.03,6.43,31.61,25-34,Mid_Career,<20k,2023-12-04/2023-12-10
2023-12-23,Rest_of_UK,Humble_Direct,Digital,TIER_36,2,92.3,14.15,78.14,45-54,Early_Career,35-50k,2023-12-18/2023-12-24
2023-11-05,Rest_of_UK,Amazon,Print,N/A,2,63.14,16.34,46.79,35-44,Student,75k+,2023-10-30/2023-11-05
2023-12-10,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,13.49,1.63,11.86,35-44,Hobbyist,20-35k,2023-12-04/2023-12-10
2023-11-04,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,31.46,3.28,28.18,16-24,Senior,50-75k,2023-10-30/2023-11-05
2023-11-11,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,18.49,2.37,16.12,55+,Mid_Career,35-50k,2023-11-06/2023-11-12
2023-12-17,Rest_of_UK,Humble_Direct,Digital,TIER_36,2,114.44,20.06,94.38,16-24,Student,20-35k,2023-12-11/2023-12-17
2023-11-06,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,20.74,1.99,18.74,45-54,Mid_Career,35-50k,2023-11-06/2023-11-12
2023-12-10,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,38.61,6.55,32.06,16-24,Early_Career,50-75k,2023-12-04/2023-12-10
2023-11-16,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,15.25,1.74,13.51,25-34,Early_Career,20-35k,2023-11-13/2023-11-19
2023-11-16,Rest_of_UK,Indie_Bookshop,Print,N/A,1,27.12,9.17,17.95,16-24,Hobbyist,35-50k,2023-11-13/2023-11-19
2023-11-09,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,10.71,1.84,8.87,25-34,Mid_Career,20-35k,2023-11-06/2023-11-12
2023-12-22,Rest_of_UK,Humble_Direct,Print,TIER_36,2,78.6,27.21,51.39,16-24,Early_Career,50-75k,2023-12-18/2023-12-24
2023-11-22,Rest_of_UK,Amazon,Print,N/A,2,57.73,18.38,39.34,25-34,Student,20-35k,2023-11-20/2023-11-26
2023-12-13,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,45.96,6.71,39.25,35-44,Early_Career,75k+,2023-12-11/2023-12-17
2023-11-07,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,55.28,8.57,46.71,55+,Mid_Career,35-50k,2023-11-06/2023-11-12
2023-11-10,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,23.5,4.01,19.49,25-34,Mid_Career,20-35k,2023-11-06/2023-11-12
2023-11-17,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,13.98,1.15,12.83,25-34,Student,50-75k,2023-11-13/2023-11-19
2023-12-20,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,28.1,4.81,23.29,25-34,Mid_Career,35-50k,2023-12-18/2023-12-24
2023-12-16,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,44.63,6.63,38.0,16-24,Early_Career,50-75k,2023-12-11/2023-12-17
2023-12-22,Rest_of_UK,Indie_Bookshop,Print,N/A,2,57.49,18.21,39.28,45-54,Hobbyist,50-75k,2023-12-18/2023-12-24
2023-12-03,Rest_of_UK,Amazon,Print,N/A,1,22.08,9.94,12.14,25-34,Mid_Career,20-35k,2023-11-27/2023-12-03
2023-11-16,Rest_of_UK,Indie_Bookshop,Digital,N/A,1,20.07,1.88,18.19,35-44,Student,20-35k,2023-11-13/2023-11-19
2023-11-12,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,57.19,4.97,52.21,16-24,Senior,20-35k,2023-11-06/2023-11-12
2023-11-26,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,13.0,1.93,11.07,35-44,Hobbyist,75k+,2023-11-20/2023-11-26
2023-12-17,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,45.18,3.85,41.33,35-44,Early_Career,50-75k,2023-12-11/2023-12-17
2023-12-07,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,27.64,2.61,25.04,45-54,Student,<20k,2023-12-04/2023-12-10
2023-12-15,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,20.42,2.97,17.45,45-54,Student,<20k,2023-12-11/2023-12-17
2023-11-04,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,23.09,3.58,19.51,25-34,Senior,20-35k,2023-10-30/2023-11-05
2023-12-16,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,39.81,3.88,35.93,45-54,Early_Career,75k+,2023-12-11/2023-12-17
2023-12-16,Rest_of_UK,Humble_Direct,Digital,TIER_36,3,120.46,12.3,108.16,35-44,Early_Career,35-50k,2023-12-11/2023-12-17
2023-11-08,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,24.5,3.15,21.35,25-34,Early_Career,50-75k,2023-11-06/2023-11-12
2023-11-06,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,50.62,4.38,46.23,16-24,Student,50-75k,2023-11-06/2023-11-12
2023-12-14,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,37.28,3.79,33.5,35-44,Student,35-50k,2023-12-11/2023-12-17
2023-11-02,Manchester,Humble_Direct,Digital,TIER_10,3,35.77,4.15,31.62,16-24,Early_Career,20-35k,2023-10-30/2023-11-05
2023-11-12,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,38.49,5.46,33.03,16-24,Hobbyist,50-75k,2023-11-06/2023-11-12
2023-11-06,Rest_of_UK,Other_Online,Digital,N/A,2,33.84,5.44,28.41,16-24,Hobbyist,35-50k,2023-11-06/2023-11-12
2023-12-14,Rest_of_UK,Other_Online,Print,N/A,1,23.46,7.51,15.95,45-54,Mid_Career,20-35k,2023-12-11/2023-12-17
2023-12-06,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,45.74,6.26,39.49,25-34,Mid_Career,35-50k,2023-12-04/2023-12-10
2023-11-22,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,12.33,1.25,11.08,35-44,Senior,20-35k,2023-11-20/2023-11-26
2023-11-28,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,31.09,4.29,26.8,16-24,Student,35-50k,2023-11-27/2023-12-03
2023-12-14,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,36.12,5.73,30.39,25-34,Hobbyist,20-35k,2023-12-11/2023-12-17
2023-12-16,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,56.81,9.41,47.41,25-34,Mid_Career,50-75k,2023-12-11/2023-12-17
2023-11-30,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,24.56,3.01,21.55,25-34,Early_Career,<20k,2023-11-27/2023-12-03
2023-12-17,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,46.02,6.86,39.16,16-24,Mid_Career,20-35k,2023-12-11/2023-12-17
2023-12-13,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,20.04,2.29,17.74,16-24,Hobbyist,20-35k,2023-12-11/2023-12-17
2023-11-12,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,45.31,3.79,41.52,25-34,Hobbyist,75k+,2023-11-06/2023-11-12
2023-12-13,Manchester,Humble_Direct,Digital,TIER_36,2,108.18,9.93,98.25,16-24,Senior,<20k,2023-12-11/2023-12-17
2023-12-09,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,21.36,2.11,19.24,25-34,Hobbyist,<20k,2023-12-04/2023-12-10
2023-11-29,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,38.74,6.18,32.56,25-34,Mid_Career,50-75k,2023-11-27/2023-12-03
2023-11-12,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,10.54,0.92,9.61,35-44,Early_Career,75k+,2023-11-06/2023-11-12
2023-12-22,Rest_of_UK,Humble_Direct,Digital,TIER_10,3,39.28,6.82,32.46,55+,Early_Career,<20k,2023-12-18/2023-12-24
2023-11-19,Manchester,Humble_Direct,Digital,TIER_36,1,40.36,6.46,33.9,35-44,Hobbyist,75k+,2023-11-13/2023-11-19
2023-11-09,Rest_of_UK,Humble_Direct,Digital,TIER_18,3,78.97,10.59,68.39,25-34,Early_Career,35-50k,2023-11-06/2023-11-12
2023-11-10,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,21.29,2.76,18.53,25-34,Mid_Career,20-35k,2023-11-06/2023-11-12
2023-12-06,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,20.46,2.94,17.52,16-24,Hobbyist,20-35k,2023-12-04/2023-12-10
2023-11-27,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,24.89,4.12,20.77,35-44,Early_Career,35-50k,2023-11-27/2023-12-03
2023-12-18,Rest_of_UK,Other_Online,Print,N/A,2,61.04,19.75,41.29,35-44,Student,20-35k,2023-12-18/2023-12-24
2023-11-20,Rest_of_UK,Indie_Bookshop,Digital,N/A,2,24.74,2.7,22.04,25-34,Hobbyist,50-75k,2023-11-20/2023-11-26
2023-12-04,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,21.33,1.98,19.35,25-34,Mid_Career,<20k,2023-12-04/2023-12-10
2023-11-23,Rest_of_UK,Amazon,Print,N/A,1,24.13,8.2,15.94,25-34,Early_Career,50-75k,2023-11-20/2023-11-26
2023-11-26,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,20.55,3.21,17.34,55+,Early_Career,35-50k,2023-11-20/2023-11-26
2023-11-02,Rest_of_UK,Humble_Direct,Digital,TIER_36,2,75.51,6.16,69.35,25-34,Early_Career,20-35k,2023-10-30/2023-11-05
2023-12-16,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,30.17,5.42,24.76,45-54,Hobbyist,20-35k,2023-12-11/2023-12-17
2023-11-07,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,11.02,1.1,9.92,16-24,Hobbyist,20-35k,2023-11-06/2023-11-12
2023-11-22,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,15.48,1.46,14.02,35-44,Senior,20-35k,2023-11-20/2023-11-26
2023-12-21,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,52.67,6.21,46.47,45-54,Student,<20k,2023-12-18/2023-12-24
2023-11-15,Rest_of_UK,Other_Online,Digital,N/A,1,11.07,1.32,9.75,35-44,Early_Career,20-35k,2023-11-13/2023-11-19
2023-11-10,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,44.9,5.4,39.49,55+,Early_Career,35-50k,2023-11-06/2023-11-12
2023-11-11,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,11.74,1.87,9.86,45-54,Senior,20-35k,2023-11-06/2023-11-12
2023-12-02,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,22.31,1.86,20.45,16-24,Mid_Career,50-75k,2023-11-27/2023-12-03
2023-11-15,Rest_of_UK,Indie_Bookshop,Print,N/A,1,32.75,10.42,22.32,35-44,Student,50-75k,2023-11-13/2023-11-19
2023-11-09,Rest_of_UK,Humble_Direct,Digital,TIER_18,2,52.19,5.68,46.51,16-24,Early_Career,35-50k,2023-11-06/2023-11-12
2023-12-20,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,51.91,7.67,44.24,25-34,Student,50-75k,2023-12-18/2023-12-24
2023-11-25,Rest_of_UK,Indie_Bookshop,Print,N/A,1,34.77,9.09,25.68,45-54,Early_Career,50-75k,2023-11-20/2023-11-26
2023-12-21,Rest_of_UK,Other_Online,Print,N/A,2,56.62,24.0,32.61,16-24,Early_Career,35-50k,2023-12-18/2023-12-24
2023-11-17,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,56.42,4.8,51.61,35-44,Early_Career,50-75k,2023-11-13/2023-11-19
2023-11-30,Rest_of_UK,Indie_Bookshop,Digital,N/A,1,12.77,1.06,11.71,55+,Mid_Career,35-50k,2023-11-27/2023-12-03
2023-11-20,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,26.77,3.08,23.69,35-44,Student,75k+,2023-11-20/2023-11-26
2023-12-10,Rest_of_UK,Indie_Bookshop,Digital,N/A,1,11.44,1.0,10.44,55+,Student,<20k,2023-12-04/2023-12-10
2023-11-28,Rest_of_UK,Amazon,Print,N/A,1,30.12,10.08,20.03,25-34,Student,50-75k,2023-11-27/2023-12-03
2023-12-14,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,54.5,4.78,49.71,35-44,Early_Career,20-35k,2023-12-11/2023-12-17
2023-11-24,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,13.66,1.94,11.72,16-24,Mid_Career,35-50k,2023-11-20/2023-11-26
2023-12-07,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,22.76,3.51,19.25,25-34,Senior,35-50k,2023-12-04/2023-12-10
2023-11-02,Rest_of_UK,Humble_Direct,Digital,TIER_36,2,98.01,15.07,82.94,16-24,Mid_Career,35-50k,2023-10-30/2023-11-05
2023-12-11,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,40.69,3.64,37.04,16-24,Early_Career,50-75k,2023-12-11/2023-12-17
2023-11-29,Manchester,Humble_Direct,Digital,TIER_36,1,43.05,6.21,36.84,25-34,Senior,20-35k,2023-11-27/2023-12-03
2023-12-09,Rest_of_UK,Humble_Direct,Digital,TIER_36,3,126.59,13.3,113.29,25-34,Mid_Career,75k+,2023-12-04/2023-12-10
2023-11-01,Rest_of_UK,Humble_Direct,Digital,TIER_36,2,107.98,11.91,96.07,25-34,Hobbyist,75k+,2023-10-30/2023-11-05
2023-12-23,Rest_of_UK,Amazon,Digital,N/A,2,32.13,4.62,27.52,25-34,Senior,20-35k,2023-12-18/2023-12-24
2023-11-23,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,23.98,1.97,22.01,25-34,Student,35-50k,2023-11-20/2023-11-26
2023-11-18,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,19.68,2.77,16.91,25-34,Early_Career,<20k,2023-11-13/2023-11-19
2023-11-24,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,40.38,5.9,34.48,35-44,Mid_Career,75k+,2023-11-20/2023-11-26
2023-12-13,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,12.11,1.83,10.28,16-24,Early_Career,35-50k,2023-12-11/2023-12-17
2023-11-14,Rest_of_UK,Amazon,Print,N/A,1,22.17,6.83,15.35,25-34,Early_Career,<20k,2023-11-13/2023-11-19
2023-12-03,Rest_of_UK,Indie_Bookshop,Digital,N/A,1,21.42,1.74,19.68,35-44,Hobbyist,50-75k,2023-11-27/2023-12-03
2023-11-13,Rest_of_UK,Humble_Direct,Digital,TIER_18,1,24.18,2.31,21.87,35-44,Student,35-50k,2023-11-13/2023-11-19
2023-12-22,Rest_of_UK,Humble_Direct,Digital,TIER_10,5,61.07,5.95,55.12,25-34,Early_Career,75k+,2023-12-18/2023-12-24
2023-11-28,Rest_of_UK,Amazon,Digital,N/A,1,21.12,2.23,18.89,35-44,Hobbyist,<20k,2023-11-27/2023-12-03
2023-12-09,Manchester,Humble_Direct,Digital,TIER_10,2,23.42,2.66,20.76,45-54,Mid_Career,50-75k,2023-12-04/2023-12-10
2023-11-02,Rest_of_UK,Humble_Direct,Digital,TIER_36,2,78.6,11.69,66.9,16-24,Early_Career,<20k,2023-10-30/2023-11-05
2023-11-24,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,12.24,1.78,10.47,16-24,Student,20-35k,2023-11-20/2023-11-26
2023-11-18,Rest_of_UK,Amazon,Digital,N/A,1,16.18,1.85,14.33,25-34,Student,50-75k,2023-11-13/2023-11-19
2023-11-25,Rest_of_UK,Humble_Direct,Digital,TIER_36,1,49.66,8.59,41.07,55+,Student,20-35k,2023-11-20/2023-11-26
2023-12-21,Rest_of_UK,Humble_Direct,Print,TIER_10,2,23.89,17.06,6.83,25-34,Student,<20k,2023-12-18/2023-12-24
2023-11-29,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,13.01,2.31,10.71,25-34,Mid_Career,50-75k,2023-11-27/2023-12-03
2023-11-09,Rest_of_UK,Amazon,Digital,N/A,2,27.23,2.26,24.97,25-34,Student,35-50k,2023-11-06/2023-11-12
2023-11-24,Rest_of_UK,Humble_Direct,Digital,TIER_10,1,12.8,1.49,11.31,45-54,Mid_Career,20-35k,2023-11-20/2023-11-26
2023-11-03,Rest_of_UK,Humble_Direct,Digital,TIER_10,2,21.57,3.47,18.1,55+,Mid_Career,35-50k,2023-10-30/2023-11-05
2023-12-18,Rest_of_UK,Other_Online,Digital,N/A,2,24.27,3.43,20.84,16-24,Hobbyist,20-35k,2023-12-18/2023-12-24
2023-11-14,Manchester,Humble_Direct,Digital,TIER_10,1,12.27,1.45,10.82,25-34,Early_Career,<20k,2023-11-13/2023-11-19
2023-11-03,Manchester,Humble_Direct,Digital,TIER_36,5,237.44,26.46,210.97,35-44,Senior,50-75k,2023-10-30/2023-11-05
